-----------------------------------------------------------------
MC SIMULATION FOR FLORY-HUGGINS PARAMETER OF LENNARD-JONES LIQUID
-----------------------------------------------------------------
The routine used in flory_huggins was developed with reference to the work by Chremos, Nikoubashman and Panagiotopolous (2014). Please cite these authors if you make use of this function for published work!

Number of particles: 4000 
Volume: 11664.0 
Pressure: 0.0 
Beta: 1.0 
Calculating initial energy...
Energy calculation concluded in 11.260369062423706 seconds. Initial energy: -35165.25485189282

10: Vol: 11653.0604 Energy: -37361.569176 	| P: 5/7 V: 1/1 S: 0/2 	| Acc.: 6/10	 (0.6%) 	 Time: 11.3
20: Vol: 11651.3032 Energy: -37695.907009 	| P: 10/13 V: 2/2 S: 0/5 	| Acc.: 12/20	 (0.6%) 	 Time: 12.03
30: Vol: 11645.4236 Energy: -38780.928323 	| P: 14/19 V: 4/4 S: 0/7 	| Acc.: 18/30	 (0.6%) 	 Time: 22.3
40: Vol: 11645.4236 Energy: -38781.552802 	| P: 21/26 V: 4/6 S: 0/8 	| Acc.: 25/40	 (0.62%) 	 Time: 22.28
50: Vol: 11622.1625 Energy: -42570.05624 	| P: 25/31 V: 8/10 S: 0/9 	| Acc.: 33/50	 (0.66%) 	 Time: 45.41
60: Vol: 11610.1744 Energy: -44253.266021 	| P: 28/35 V: 11/15 S: 0/10 	| Acc.: 39/60	 (0.65%) 	 Time: 66.76
70: Vol: 11610.1744 Energy: -44253.424424 	| P: 32/41 V: 11/16 S: 0/13 	| Acc.: 43/70	 (0.61%) 	 Time: 22.37
80: Vol: 11601.9197 Energy: -45321.519533 	| P: 38/49 V: 13/18 S: 0/13 	| Acc.: 51/80	 (0.64%) 	 Time: 21.99
90: Vol: 11601.9197 Energy: -45321.760652 	| P: 43/56 V: 13/19 S: 0/15 	| Acc.: 56/90	 (0.62%) 	 Time: 22.24
100: Vol: 11594.8466 Energy: -46182.187289 	| P: 48/63 V: 14/21 S: 0/16 	| Acc.: 62/100	 (0.62%) 	 Time: 22.04
110: Vol: 11593.4152 Energy: -46350.171989 	| P: 53/68 V: 15/24 S: 0/18 	| Acc.: 68/110	 (0.62%) 	 Time: 33.69
120: Vol: 11593.4152 Energy: -46350.871259 	| P: 59/75 V: 15/24 S: 0/21 	| Acc.: 74/120	 (0.62%) 	 Time: 0.34
130: Vol: 11584.1313 Energy: -47398.220325 	| P: 65/82 V: 17/26 S: 0/22 	| Acc.: 82/130	 (0.63%) 	 Time: 22.21
140: Vol: 11583.3843 Energy: -47484.060466 	| P: 70/88 V: 18/28 S: 0/24 	| Acc.: 88/140	 (0.63%) 	 Time: 22.95
150: Vol: 11578.96 Energy: -47954.936451 	| P: 73/94 V: 19/31 S: 0/25 	| Acc.: 92/150	 (0.61%) 	 Time: 33.17
160: Vol: 11564.945 Energy: -49341.17621 	| P: 80/101 V: 21/33 S: 0/26 	| Acc.: 101/160	 (0.63%) 	 Time: 22.78
170: Vol: 11564.945 Energy: -49341.066708 	| P: 85/107 V: 21/34 S: 0/29 	| Acc.: 106/170	 (0.62%) 	 Time: 11.5
180: Vol: 11561.4339 Energy: -49667.169643 	| P: 92/114 V: 22/35 S: 0/31 	| Acc.: 114/180	 (0.63%) 	 Time: 22.23
190: Vol: 11548.048 Energy: -50825.217316 	| P: 95/118 V: 24/39 S: 0/33 	| Acc.: 119/190	 (0.63%) 	 Time: 44.76
200: Vol: 11536.9587 Energy: -51700.412729 	| P: 101/125 V: 25/42 S: 0/33 	| Acc.: 126/200	 (0.63%) 	 Time: 33.43
210: Vol: 11530.2159 Energy: -52200.326031 	| P: 108/133 V: 26/43 S: 0/34 	| Acc.: 134/210	 (0.64%) 	 Time: 11.27
220: Vol: 11507.7041 Energy: -53696.982807 	| P: 110/135 V: 28/48 S: 0/37 	| Acc.: 138/220	 (0.63%) 	 Time: 55.66
230: Vol: 11500.6251 Energy: -54120.50604 	| P: 114/140 V: 29/50 S: 0/40 	| Acc.: 143/230	 (0.62%) 	 Time: 22.88
240: Vol: 11500.6251 Energy: -54120.086998 	| P: 120/148 V: 29/50 S: 0/42 	| Acc.: 149/240	 (0.62%) 	 Time: 0.33
250: Vol: 11492.1833 Energy: -54599.009082 	| P: 123/154 V: 30/51 S: 0/45 	| Acc.: 153/250	 (0.61%) 	 Time: 11.23
260: Vol: 11482.5383 Energy: -55117.709681 	| P: 127/160 V: 31/53 S: 0/47 	| Acc.: 158/260	 (0.61%) 	 Time: 34.55
270: Vol: 11482.5383 Energy: -55117.810023 	| P: 133/167 V: 31/53 S: 0/50 	| Acc.: 164/270	 (0.61%) 	 Time: 0.34
280: Vol: 11455.4524 Energy: -56387.383083 	| P: 136/172 V: 35/57 S: 0/51 	| Acc.: 171/280	 (0.61%) 	 Time: 56.12
290: Vol: 11448.404 Energy: -56680.973872 	| P: 141/178 V: 36/60 S: 0/52 	| Acc.: 177/290	 (0.61%) 	 Time: 34.06
300: Vol: 11444.5148 Energy: -56848.830515 	| P: 145/183 V: 38/63 S: 0/54 	| Acc.: 183/300	 (0.61%) 	 Time: 45.79
310: Vol: 11444.5148 Energy: -56847.942612 	| P: 151/190 V: 38/64 S: 0/56 	| Acc.: 189/310	 (0.61%) 	 Time: 11.23
320: Vol: 11427.0144 Energy: -57503.093973 	| P: 156/197 V: 40/66 S: 0/57 	| Acc.: 196/320	 (0.61%) 	 Time: 22.46
330: Vol: 11427.0144 Energy: -57506.328462 	| P: 161/204 V: 40/66 S: 0/60 	| Acc.: 201/330	 (0.61%) 	 Time: 0.34
340: Vol: 11413.1405 Energy: -57973.150599 	| P: 163/209 V: 42/69 S: 0/62 	| Acc.: 205/340	 (0.6%) 	 Time: 32.95
350: Vol: 11404.0914 Energy: -58256.834204 	| P: 168/215 V: 43/70 S: 0/65 	| Acc.: 211/350	 (0.6%) 	 Time: 11.21
360: Vol: 11397.5374 Energy: -58451.661695 	| P: 168/215 V: 45/74 S: 0/71 	| Acc.: 213/360	 (0.59%) 	 Time: 66.22
370: Vol: 11388.2103 Energy: -58716.087225 	| P: 173/220 V: 46/77 S: 0/73 	| Acc.: 219/370	 (0.59%) 	 Time: 34.17
380: Vol: 11388.2103 Energy: -58715.998307 	| P: 174/223 V: 46/81 S: 0/76 	| Acc.: 220/380	 (0.58%) 	 Time: 56.24
390: Vol: 11388.2103 Energy: -58714.802946 	| P: 179/228 V: 46/84 S: 0/78 	| Acc.: 225/390	 (0.58%) 	 Time: 34.82
400: Vol: 11384.1408 Energy: -58826.35456 	| P: 184/235 V: 47/85 S: 0/80 	| Acc.: 231/400	 (0.58%) 	 Time: 11.32
410: Vol: 11383.2396 Energy: -58850.56254 	| P: 186/237 V: 48/89 S: 0/84 	| Acc.: 234/410	 (0.57%) 	 Time: 45.01
420: Vol: 11383.2396 Energy: -58850.59992 	| P: 188/243 V: 48/90 S: 0/87 	| Acc.: 236/420	 (0.56%) 	 Time: 11.43
430: Vol: 11361.915 Energy: -59380.956589 	| P: 190/246 V: 50/96 S: 0/88 	| Acc.: 240/430	 (0.56%) 	 Time: 68.06
440: Vol: 11361.525 Energy: -59392.347144 	| P: 196/252 V: 51/98 S: 0/90 	| Acc.: 247/440	 (0.56%) 	 Time: 22.5
450: Vol: 11353.12 Energy: -59584.509288 	| P: 200/257 V: 53/101 S: 0/92 	| Acc.: 253/450	 (0.56%) 	 Time: 33.61
460: Vol: 11349.0776 Energy: -59672.765496 	| P: 205/264 V: 55/103 S: 0/93 	| Acc.: 260/460	 (0.57%) 	 Time: 23.09
470: Vol: 11347.5707 Energy: -59850.350753 	| P: 210/269 V: 56/105 S: 1/96 	| Acc.: 267/470	 (0.57%) 	 Time: 33.25
480: Vol: 11340.2347 Energy: -59999.025447 	| P: 214/275 V: 58/107 S: 1/98 	| Acc.: 273/480	 (0.57%) 	 Time: 34.11
490: Vol: 11322.9842 Energy: -60318.153848 	| P: 219/282 V: 61/110 S: 1/98 	| Acc.: 281/490	 (0.57%) 	 Time: 33.93
500: Vol: 11314.0905 Energy: -60469.18561 	| P: 221/287 V: 62/112 S: 1/101 	| Acc.: 284/500	 (0.57%) 	 Time: 22.6
510: Vol: 11306.5606 Energy: -60589.933221 	| P: 227/293 V: 63/114 S: 1/103 	| Acc.: 291/510	 (0.57%) 	 Time: 22.35
